external_key	category_name	question_text	explanation
Q1	離散数学	XとYの否定論理積X NAND Yは、NOT(X AND Y)として定義される。X OR YをNANDだけを使って表した論理式はどれか。	"""否定論理積(NAND)は、論理積(AND)と逆の結果をとる論理演算であり、2つの入力がともに1の場合のみ結果が0となり、そのほかの場合は結果が1となる。
そして論理和(OR)は、少なくとも一方が1であれば結果は1になり、両方とも0ならば結果が0になる論理演算である。

本問では、各選択肢の真理値表を書いて、OR演算の真理値表と一致するものを選べばよい。"""
Q2	離散数学	1件のトランザクションについて80万ステップの命令実行を必要とするシステムがある。プロセッサの性能が200MIPSで、プロセッサの使用率が80%の時のトランザクションの処理能力(件/秒)はいくらか。	"MIPSとはMillion Instructions Per Secondの略で、プロセッサの処理能力を示す単位である。
1MIPSは1秒間に100万命令を処理できるということを意味する。

1秒につき処理できる命令数を、トランザクション1件に必要な命令数で割れば、1秒で処理できるトランザクション数を求めることができる。プロセッサの使用率が80%であることに注意すると

200×1,000,000(命令/秒)×0.8÷800,000(命令/件)=200(件/秒)
と求められる。"
Q3	離散数学	2の補数で表された負数10101110の絶対値はどれか。	"2進数では0と1のみで負数も表現する。「2の補数表現」はその方法の一つである。この表現方法では、ある数の各ビットを反転させ、最後に1を足したものを、その数の負数として扱う。
10101110の各ビットを反転させると、01010001。これに1を足した01010010が正解となる。"
Q4	離散数学	浮動小数点演算において、絶対値の大きな数と絶対値の小さな数の加減算を行ったとき、絶対値の小さな数の有効桁の一部または全部が結果に反映されないことを何というか。	例えば、有効桁数が3桁の数0.123と0.0000123を足すと、0.1230123となるが、これを3桁に丸めると0.123となり、0.0000123が反映されなくなる。これを情報落ちという。
Q5	離散数学	(1 + α)^nの計算を、1+n×αで近似計算ができる条件として、適切なものはどれか。	"(1+α)^nを二項定理により展開すると
         1+nα+n(n-1)/2α^2…
となり、第3項以降はαの次数が2から大きくなっていく。
ここで、1+n×αに近似できるとは、上記展開式の第3項以降、つまりαの次数が2以上の部分が無視できるということである。これは|α|が1に比べて十分小さいときに発生するものである。"
Q6	離散数学	yの値に変化がなくなった。この時成立する関係式はどれか。	"手続きを反復することによって関数f(x)と直線y=xが一致する点に収束していく。本問はこの時の条件を求める問題である。
Yの値は一定になることは、②でyに代入するf(x)の値が一定になることを意味する。また、④でxにyを代入しているので、f(x)=f(y)と同義である。"
Q7	離散数学	数値を2進数で格納するレジスタがある。このレジスタに正の整数xを設定した後、「レジスタの値を2ビット左にシフトして、ｘを加える」という操作を行うと、レジスタの値はxの何倍になるか。ここで、あふれ（オーバーフロー）は発生しないものとする。	"「シフトする」とはビット列を全てずらし、空いたビットに0を挿入することである。
また、シフト演算を行うとすべての桁が2の倍数だけ変化するので、左にシフトすると値は2倍になり、右にシフトすると1/2倍になる。
よって本問では2ビット左にシフトすることで2倍になり、さらにx自身を加えることで5倍となる。"
Q8	離散数学	次の10進数少数のうち、2進数で表すと無限小数になるものはどれか。	"無限小数とは、0.111…のように限りなく数字が連なる少数のこと。
2進数の少数は、2^-1の位、2^-2の位、2^-3の位…を足し合わせることによって構成されるので、これらの有限個の組み合わせで成り立つかどうかを確認すればよい。
0.125=2^-3
0.375=2^-2+2^-3
0.2=2^-1"
Q9	離散数学	アナログ電圧をディジタル化した後に演算処理することの利点として、適切なものはどれか。	"ディジタル化とは、連続的な電圧を段階ごとに区切ってビットに変換することであり、アナログ値をそのまま用いるよりも、微小なノイズの影響を受けにくい、処理が単純高速になるといった利点がある。
一方、連続値を離散的に符号化するため、段階と段階の間の情報が失われる「丸め誤差」が発生してしまう。"
Q10	離散数学	16進数0.Cを10進少数に変換したものはどれか。	"ある数値を、16進数から10進数へ変換するには、各桁の数値に16のべき乗をかけ、その総和をとればよい。
ここで16進数では、0~9までの数字にA~Fまでのアルファベットを加えた合計15種類の文字を用いる。
本問の「0.C」を計算すると、1桁目が0で小数第一位がCなので、
0×16^0 + 12×16^-1 = 12/16 = 0.75
となる。"
Q11	離散数学	"次の一連の3アドレス命令で得られる結果xを表す式はどれか。ここで、3アドレス命令では、三つのオペランドを用いた命令""c←a op b""を""op(a,b,c)""と表記する。また、opは一つの演算子を表し、結果xを表す式における演算子は、×,÷,+,-の順に優先される。

÷(c,d,w1)
+(b,w1,w2)
÷(e,f,w3)
×(w2,w4,x)"	
