question_key	choice_order	choice_text	is_correct
Q1	1	((X NAND Y) NAND X) NAND Y	FALSE
Q1	2	(X NAND X) NAND (Y NAND Y)	TRUE
Q1	3	(X NAND Y) NAND (X NAND Y)	FALSE
Q1	4	X NAND (Y NAND (X NAND Y))	FALSE
Q2	1	20	FALSE
Q2	2	200	TRUE
Q2	3	250	FALSE
Q2	4	313	FALSE
Q3	1	01010000	FALSE
Q3	2	01010001	FALSE
Q3	3	01010010	TRUE
Q3	4	01010011	FALSE
Q4	1	打切り誤差	FALSE
Q4	2	桁落ち誤差	FALSE
Q4	3	情報落ち	TRUE
Q4	4	絶対誤差	FALSE
Q5	1	|α|が1に比べて非常に小さい	TRUE
Q5	2	|α|がnに比べて非常に大きい	FALSE
Q5	3	|α÷n|が1より大きい	FALSE
Q5	4	|n×α|が1より大きい	FALSE
Q6	1	f(a)=y	FALSE
Q6	2	f(y)=0	FALSE
Q6	3	f(y)=a	FALSE
Q6	4	f(y)=y	TRUE
Q7	1	3	FALSE
Q7	2	4	FALSE
Q7	3	5	TRUE
Q7	4	6	FALSE
Q8	1	0.05	TRUE
Q8	2	0.125	FALSE
Q8	3	0.375	FALSE
Q8	4	0.5	FALSE
Q9	1	アナログからディジタルへの変換では誤差が発生しない。	FALSE
Q9	2	演算結果が部品精度、温度変化及び外来雑音の影響を受けにくい。	TRUE
Q9	3	数値演算において丸め誤差が発生することはない。	FALSE
Q9	4	電圧が変化してから演算結果を得るまでの遅延時間が発生しない。	FALSE
Q10	1	0.12	FALSE
Q10	2	0.55	FALSE
Q10	3	0.75	TRUE
Q10	4	0.84	FALSE
Q11	1	b+c÷d×e÷f-g	FALSE
Q11	2	b+c÷d×(e÷f-g)	FALSE
Q11	3	(b+c÷d)×e÷f-g	FALSE
Q11	4	(b+c÷d)×(e÷f-g)	TRUE
Q12	1	5	FALSE
Q12	2	50	FALSE
Q12	3	500	TRUE
Q12	4	5000	FALSE
Q13	1	"A, B, C"	TRUE
Q13	2	"B, A, C"	FALSE
Q13	3	"B, C, A"	FALSE
Q13	4	"C, B, A"	FALSE
Q14	1	CRC方式	TRUE
Q14	2	垂直パリティチェック方式	FALSE
Q14	3	水平パリティチェック方式	FALSE
Q14	4	ハミング符号方式	FALSE
Q15	1	あらかじめ決められた順序で制御を行う	FALSE
Q15	2	外乱の影響が出力に現れる前に制御を行う	FALSE
Q15	3	出力結果と目標値とを比較して、一致するように制御を行う	TRUE
Q15	4	出力結果を使用せず制御を行う	FALSE
Q16	1	あるデータから結果を求める処理を、人間の脳神経回路のように多層の処理を重ねることによって、複雑な判断をできるようにする。	TRUE
Q16	2	大量のデータからまだ知られていない新たな規則や仮説を発見するために、総低地から大きく外れている例外事項を取り除きながら分析を繰り返す手法である。	FALSE
Q16	3	多様なデータや大量のデータに対して、三段論法、統計的手法やパターン認識手法を組み合わせることによって、高度なデータ分析を行う手法である。	FALSE
Q16	4	知識がルールに従って表現されており、演繹手法を利用した推論によって有意な結論を導く手法である。	FALSE
Q17	1	強化学習を行い、最適な結果が得られるようにする。	FALSE
Q17	2	事前学習と同じデータを繰り返し用いて学習を行い、モデルの精度を高めるようにする。	FALSE
Q17	3	大量のテキストデータを用いて学習を行い、モデルの精度を高めるようにする。	FALSE
Q17	4	特定のデータを用いて追加で学習を行い、目的とするタスクに適用できるようにする。	TRUE
Q18	1	ある特定の分野に特化した知識を基に、ルールベースの推論を行うことによって、専門家と同じレベルの問題解決を行う。	FALSE
Q18	2	試行錯誤しながら条件を満たす会に到達する方法であり、場合分けを行い深さ優先で探索し、解が見つからなければひとつ前の場合分けの状態に後戻りする。	FALSE
Q18	3	神経回路網を模倣した方法であり、多層に配置された素子とそれらを結ぶ信号線で構成されたモデルにおいて、信号線に付随するパラメタを調整することによって入力に対して適切な解が出力される。	TRUE
Q18	4	生物の進化を模倣した方法であり、与えられた問題の解の候補を記号列で表現して、それらを遺伝子に見立てて突然変異、後輩、淘汰を繰り返して逐次的により良い解に近づける。	FALSE
Q19	1	奇数パリティ	FALSE
Q19	2	水平パリティ	FALSE
Q19	3	チェックサム	FALSE
Q19	4	ハミング符号方式	TRUE
Q20	1	456789	FALSE
Q20	2	ABC+99	FALSE
Q20	3	ABC99＊	FALSE
Q20	4	ABCDEF	TRUE
Q21	1	1	FALSE
Q21	2	2	FALSE
Q21	3	3	TRUE
Q21	4	4	FALSE
Q22	1	1	FALSE
Q22	2	2	FALSE
Q22	3	5	TRUE
Q22	4	6	FALSE
Q23	1	位置を指定して、任意のデータに直接アクセスすることができる	TRUE
Q23	2	並んでいるデータの先頭に任意の意データを効率的に挿入することができる	FALSE
Q23	3	任意のデータの参照は効率出来ではないが、削除や挿入の操作を効率的に行える	FALSE
Q23	4	任意のデータを別の位置に移動する場合、隣接するデータを移動せずにできる	FALSE
Q24	1	a+bがnの倍数	FALSE
Q24	2	a-bがnの倍数	TRUE
Q24	3	nがa+bの倍数	FALSE
Q24	4	nがa-bの倍数	FALSE
Q25	1	"A, D, B, C"	FALSE
Q25	2	"B, D, A, C"	FALSE
Q25	3	"C, B, D, A"	TRUE
Q25	4	"D, C, A, B"	FALSE
Q26	1	FIFO	FALSE
Q26	2	LFU	FALSE
Q26	3	LIFO	FALSE
Q26	4	LRU	TRUE
Q27	1	枝の個数がnならば、節点の個数もnである	FALSE
Q27	2	木の深さがnならば、葉の個数は2^(n-1)である	FALSE
Q27	3	節点の個数がnならば、木の深さはlog2nである	FALSE
Q27	4	葉の個数がnならば、葉以外の節点の個数はn-1である	TRUE
			
			
			
			
			
			
			
			
			
			
			
			
			
DBQ1	1	125	FALSE
DBQ1	2	250	FALSE
DBQ1	3	80000	FALSE
DBQ1	4	125000	TRUE
DBQ2	1	ゼロによる除算命令の実行	FALSE
DBQ2	2	存在しない命令コードの実行	FALSE
DBQ2	3	タイマによる時間経過の通知	TRUE
DBQ2	4	ページフォールトの発生	FALSE
DBQ3	1	インデックスレジスタ	FALSE
DBQ3	2	データレジスタ	FALSE
DBQ3	3	プログラムカウンタ	TRUE
DBQ3	4	命令レジスタ	FALSE
DBQ4	1	7	FALSE
DBQ4	2	8	FALSE
DBQ4	3	9	TRUE
DBQ4	4	10	FALSE
DBQ5	1	キャッシュメモリにヒットしない場合に割込みが生じ、プログラムによって主記憶からキャッシュメモリにデータが転送される。	FALSE
DBQ5	2	キャッシュメモリは、実記憶と仮想記憶のメモリ容量の差を埋めるために採用される。	FALSE
DBQ5	3	データ書き込み命令を実行したときに、キャッシュメモリと主記憶の両方を書き換える方式と、キャッシュメモリだけを書き換えておき、主記憶の書き換えはキャッシュメモリから当該データが追い出されるときに行う方式とがある。	TRUE
DBQ5	4	半導体メモリのアクセス速度の向上が著しいので、キャッシュメモリの必要性は減っている。	FALSE
DBQ6	1	1バイト単位でデータの消去及び書き込みが可能な不揮発性のメモリであり、電源遮断時もデータ保持が必要な用途に用いられる	FALSE
DBQ6	2	不揮発性のメモリでNAND型またはNOR型があり、SSDに用いられる。	FALSE
DBQ6	3	メモリセルはフリップフロップで構成され、キャッシュメモリに用いられる。	FALSE
DBQ6	4	リフレッシュ動作が必要なメモリであり、PCの主記憶として用いられる。	TRUE
DBQ7	1	1/100	FALSE
DBQ7	2	1月20日	FALSE
DBQ7	3	1月10日	TRUE
DBQ7	4	1月5日	FALSE
DBQ8	1	すべてのデータに定数aを加えたものの標準偏差は、元の標準偏差にaを加えたものになる。	FALSE
DBQ8	2	すべてのデータに定数aを加えたものの標準偏差は、元の標準偏差のa倍になる。	FALSE
DBQ8	3	すべてのデータを2倍したものの標準偏差は、元の標準偏差の1/2倍になる。	FALSE
DBQ8	4	すべてのデータを2倍したものの標準偏差は、元の標準偏差の2倍になる。	TRUE
DBQ9	1	演算結果がコンピュータの扱える最大値を超えることによって生じる誤差である。	FALSE
DBQ9	2	数表現の桁数に限度があるので、最下位桁より小さい部分について四捨五入や切り上げ、切り捨てを行うことによって生じる誤差である。	TRUE
DBQ9	3	乗除算において、指数部が小さいほうの数値の仮数部の下位部分が失われることによって生じる誤差である。	FALSE
DBQ9	4	絶対値がほぼ等しい数値の加減算において、上位の有効数字が失われることによって生じる誤差である。	FALSE
DBQ10	1	故障確率に用いられ、バスタブのような形状をした連続確率分布のこと。	FALSE
DBQ10	2	すべての事象の起こる確率が等しい現象を表す確率分布のこと。	FALSE
DBQ10	3	平均値を中心とする左右対称で釣鐘状の連続確率分布のこと。	TRUE
DBQ10	4	離散的に発生し、発生確率は一定である離散確率分布のこと。	FALSE
DBQ11	1	個々の行動に対しての良しあしを得点として与えることによって、得点が最も多く得られるような方策を学習する。	FALSE
DBQ11	2	コンピュータ利用者の挙動データを蓄積し、挙動データの出現頻度に従って次の挙動を推論する。	FALSE
DBQ11	3	正解のデータを提示したり、データが誤りであることを指摘したりすることによって、未知のデータに対して正誤を得ることを助ける。	TRUE
DBQ11	4	正解のデータを提示せずに、統計的性質や、ある種の条件によって入力パターンを判定したり、クラスタリングしたりする。	FALSE
DBQ12	1	記憶したデータから特定のパターンを見つけ出すなどの、人が自然に行っている学習能力をコンピュータに持たせるための技術。	TRUE
DBQ12	2	コンピュータ、機械などを使って、生命現象や進化のプロセスを再現するための技術。	FALSE
DBQ12	3	特定の分野の専門知識をコンピュータに入力し、入力された知識を用いてコンピュータが推論する技術。	FALSE
DBQ12	4	人が双方向学習を行うために、Webシステムなどの情報技術を用いて、教材や学習管理能力をコンピュータに持たせるための技術。	FALSE
DBQ13	1	"""AならばBである""というルールを人間があらかじめ設定して、新しい知識を論理式で表現したルールに基づく推論の結果として、解を求めるものである。"	FALSE
DBQ13	2	厳密な解でなくてもなるべく正解に近い解を得るようにする方法であり、特定分野に特化せずに、広範囲で汎用的な問題解決ができるようにするものである。	FALSE
DBQ13	3	人間の神経回路を模倣して、認識などの知能を実現する方法であり、ニューラルネットワークを用いて、人間と同じような認識ができるようにするものである。	TRUE
DBQ13	4	判断ルールを作成できる医療診断などの分野に限定されるが、症状から特定の病気に絞り込むといった、確率的に高い判断ができる。	FALSE
DBQ14	1	31/32	FALSE
DBQ14	2	31/125	FALSE
DBQ14	3	31/512	FALSE
DBQ14	4	73/512	TRUE
DBQ15	1	16進表記 00 のビット列と排他的論理和をとる。	FALSE
DBQ15	2	16進表記 00 のビット列と論理和をとる。	FALSE
DBQ15	3	16進表記 FF のビット列と排他的論理和をとる。	TRUE
DBQ15	4	16進表記 FF のビット列と論理和をとる。	FALSE
DBQ16	1	16進数 0F とのANDをとる。	FALSE
DBQ16	2	16進数 0f とのORをとる。	FALSE
DBQ16	3	16進数 7F とのANDをとる。	TRUE
DBQ16	4	16進数 FF とのXORをとる。	FALSE
DBQ17	1	0.001011	FALSE
DBQ17	2	0.001101	FALSE
DBQ17	3	0.00111	TRUE
DBQ17	4	0.0111	FALSE
DBQ18	1	その整数値が正ならば3	TRUE
DBQ18	2	その整数値が負ならば-3	FALSE
DBQ18	3	その整数値が負ならば3	FALSE
DBQ18	4	その整数値の正負に関わらず0	FALSE
DBQ19	1	xを2ビット左にシフトした値にxを加算し、更に1ビット左にシフトする。	TRUE
DBQ19	2	xを2ビット左にシフトした値にxを加算し、更に2ビット左にシフトする。	FALSE
DBQ19	3	xを3ビット左にシフトした値と、xを2ビット左にシフトした値を加算する。	FALSE
