"question_key	choice_order	choice_text	is_correct"
"Q1	1	((X NAND Y) NAND X) NAND Y	FALSE"
"Q1	2	(X NAND X) NAND (Y NAND Y)	TRUE"
"Q1	3	(X NAND Y) NAND (X NAND Y)	FALSE"
"Q1	4	X NAND (Y NAND (X NAND Y))	FALSE"
"Q2	1	20	FALSE"
"Q2	2	200	TRUE"
"Q2	3	250	FALSE"
"Q2	4	313	FALSE"
"Q3	1	1010000	FALSE"
"Q3	2	1010001	FALSE"
"Q3	3	1010010	TRUE"
"Q3	4	1010011	FALSE"
"Q4	1	打切り誤差	FALSE"
"Q4	2	桁落ち	FALSE"
"Q4	3	情報落ち	TRUE"
"Q4	4	絶対誤差	FALSE"
"Q5	1	|α|が1に比べて非常に小さい	TRUE"
"Q5	2	|α|がnに比べて非常に大きい	FALSE"
"Q5	3	|α÷n|が1より大きい	FALSE"
"Q5	4	|n×α|が1より大きい	FALSE"
"Q6	1	f(a)=y	FALSE"
"Q6	2	f(y)=0	FALSE"
"Q6	3	f(y)=a	FALSE"
"Q6	4	f(y)=y	TRUE"
"Q7	1	3	FALSE"
"Q7	2	4	FALSE"
"Q7	3	5	TRUE"
"Q7	4	6	FALSE"
"Q8	1	0.05	TRUE"
"Q8	2	0.125	FALSE"
"Q8	3	0.375	FALSE"
"Q8	4	0.5	FALSE"
"Q9	1	アナログからディジタルへの変換では誤差が発生しない。	FALSE"
"Q9	2	演算結果が部品精度、温度変化及び外来雑音の影響を受けにくい。	TRUE"
"Q9	3	数値演算において丸め誤差が発生することはない。	FALSE"
"Q9	4	電圧が変化してから演算結果を得るまでの遅延時間が発生しない。	FALSE"
"Q10	1	0.12	FALSE"
"Q10	2	0.55	FALSE"
"Q10	3	0.75	TRUE"
"Q10	4	0.84	FALSE"
